match_id,enemies_0,enemies_1,enemies_2,enemies_3,enemies_4,teammates_0,teammates_1,teammates_2,teammates_3,teammates_4,win
EUW1_6509788196,266,64,119,69,40,36,11,145,1,111,0
KR_6605578957,41,57,126,360,111,54,91,145,1,526,0
EUW1_6509288169,122,104,103,22,89,86,57,145,2,412,0
NA1_4718485927,78,30,104,145,555,266,59,18,3,89,1
KR_6609576711,8,28,98,18,497,887,113,777,3,145,1
NA1_4722079068,266,107,54,81,267,145,28,19,4,200,1
KR_6608872888,266,28,39,222,12,126,72,145,4,526,1
NA1_4719038091,41,120,142,81,497,24,113,55,4,40,1
EUW1_6505907639,58,421,103,523,12,429,30,238,516,111,1
KR_6605351724,114,60,122,69,526,145,234,3,516,497,0
NA1_4721840049,67,221,897,350,79,40,21,107,516,142,0
NA1_4717785278,106,120,127,145,89,136,234,81,516,412,1
EUW1_6509114519,28,412,36,498,950,127,102,145,516,12,0
EUW1_6509239322,2,72,268,119,201,24,427,134,516,44,0
NA1_4721899469,147,21,268,154,203,25,96,120,516,518,0
NA1_4722032879,150,68,126,147,12,429,76,75,517,111,1
EUW1_6507102328,77,421,127,96,12,150,91,246,517,526,0
EUW1_6507160482,13,76,18,360,12,122,421,68,517,526,1
EUW1_6506969302,85,120,157,429,526,81,78,427,517,497,1
EUW1_6510064077,126,64,518,523,53,164,200,147,517,497,1
KR_6608886587,81,526,254,7,107,53,145,114,517,245,1
NA1_4721466678,133,141,103,145,111,39,91,360,517,12,0
EUW1_6513425967,68,104,91,101,111,64,234,22,517,40,1
EUW1_6511130905,54,203,58,147,111,777,234,101,517,526,0
EUW1_6511253671,103,145,266,35,120,67,64,33,517,39,0
NA1_4720851860,23,421,81,498,432,58,78,147,517,37,0
NA1_4721400713,164,107,27,111,498,777,56,99,517,145,0
KR_6608783979,107,113,517,145,12,166,91,498,518,53,0
KR_6606853703,24,113,127,523,12,58,517,145,518,526,1
KR_6608123817,266,64,1,145,526,68,427,18,518,12,1
KR_6608190938,57,200,126,145,526,24,427,18,518,875,1
EUW1_6509556552,19,5,8,360,526,58,64,498,518,143,0
EUW1_6513380989,114,427,8,360,57,887,421,246,518,235,1
KR_6603870655,166,234,268,360,111,58,104,895,518,526,0
KR_6607691167,266,64,119,526,136,145,517,18,518,497,0
EUW1_6508744806,266,120,7,498,201,41,421,163,518,111,1
EUW1_6511741351,28,203,360,202,12,266,950,105,7,40,1
NA1_4718197866,166,121,711,523,526,114,91,22,7,902,0
EUW1_6508783185,897,245,39,360,526,24,121,145,7,497,1
EUW1_6513045431,69,121,4,895,526,85,104,30,7,235,0
EUW1_6512641053,897,200,126,115,43,58,121,18,7,518,0
KR_6608654412,85,203,157,22,44,164,79,18,7,497,1
EUW1_6511923842,777,107,238,119,111,68,64,81,7,432,0
EUW1_6510319098,517,59,90,145,111,85,200,18,7,201,1
NA1_4719627249,240,59,266,145,412,24,523,104,7,53,0
NA1_4717709393,58,131,126,69,412,54,64,145,7,111,1
EUW1_6507496814,266,64,90,145,526,2,234,202,8,12,0
EUW1_6510504202,85,28,126,498,526,67,64,81,8,497,0
EUW1_6513369069,60,48,517,145,526,126,876,236,8,12,1
EUW1_6512820507,39,427,101,147,526,114,59,166,8,235,1
EUW1_6513531163,145,222,101,85,35,30,897,147,8,266,1
NA1_4722027166,875,111,131,498,64,104,22,266,8,497,0
EUW1_6506707464,24,64,145,202,101,516,234,81,8,497,0
EUW1_6512244611,75,107,103,145,161,82,254,238,8,127,1
NA1_4719963460,122,131,157,145,432,266,234,101,8,111,1
NA1_4720868399,133,104,4,115,201,54,234,360,8,111,1
EUW1_6507460998,897,234,134,119,497,19,59,81,8,43,1
EUW1_6512238284,11,35,134,145,32,14,81,246,9,235,1
NA1_4721902579,81,141,29,78,69,67,117,950,9,103,1
EUW1_6512651783,98,121,517,360,111,54,145,126,9,37,0
EUW1_6507140807,126,234,127,81,12,516,60,4,777,53,0
NA1_4719383113,68,64,950,119,555,31,200,523,777,888,1
NA1_4721785808,54,62,99,145,555,166,76,91,777,526,0
NA1_4720892278,80,203,110,498,555,17,28,523,777,9,0
NA1_4721872662,950,82,53,523,56,245,154,145,777,888,0
EUW1_6510341650,516,59,18,81,63,82,254,119,777,99,1
NA1_4722045946,245,236,31,141,89,145,54,107,777,497,0
KR_6604141084,266,254,55,498,350,34,104,21,777,99,1
KR_6608439355,266,245,166,145,111,78,113,69,777,497,1
EUW1_6512563962,17,200,103,145,111,164,28,90,777,16,1
KR_6607697355,111,950,68,22,113,145,897,89,777,30,1
EUW1_6506692375,266,121,84,22,117,2,56,13,777,235,0
EUW1_6512825362,82,103,21,92,497,91,74,119,10,777,0
